,sentir yo,morir yo,gana morir,querer morir,sentir vacío,querer dormir,querer llorar,vida mierda,sentir triste,gana llorar,querer sentir,sentir él,gana dormir,ansiedad ansiedad,ir yo,dejar sentir,yo querer,cortar yo,dejar llorar,dejar pensar
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
8,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1
39,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1
42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0
51,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0
59,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
61,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
84,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
93,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
94,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
105,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
110,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
118,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
124,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
132,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
135,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
143,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
146,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
152,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
153,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
162,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
164,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
166,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
167,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
168,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
169,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0
170,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
171,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
172,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0
173,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0
174,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1
175,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
177,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
180,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
181,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1
186,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
187,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
189,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
193,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
196,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
197,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
198,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
203,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0
204,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
205,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0
207,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
210,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
216,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
220,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
225,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
227,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
230,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
235,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
241,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1
242,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
244,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0
245,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
247,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0
248,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
252,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
266,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
269,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
275,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
276,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
283,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
287,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1
290,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
295,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
299,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0
302,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
303,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
307,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0
308,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0
314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
316,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
319,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
320,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
325,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
328,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
335,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
337,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
338,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
339,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0
340,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
343,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
344,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
345,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
349,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
356,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
358,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
362,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
366,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
367,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
370,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
375,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
378,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
380,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
382,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
392,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
393,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
395,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
396,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
403,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
404,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
407,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
414,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
418,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
422,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
424,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
426,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
431,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
436,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
443,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
445,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
451,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
452,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0
454,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
465,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
467,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
469,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
477,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
480,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0
483,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
484,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0
485,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
497,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
498,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
499,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
501,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0
503,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1
504,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
505,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0
506,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
511,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
513,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
514,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0
516,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
